studyID:sampleId	Altered	CTNNB1	ZNRF3	APC	AXIN1	AXIN2	RNF43	RSPO1	RSPO2	RSPO3	RSPO4
hcc_tcga_gdc:TCGA-ZS-A9CG-01	1	1	0	0	0	0	0	0	1	0	0
hcc_tcga_gdc:TCGA-ZS-A9CF-02	0	0	0	0	0	0	0	0	0	0	0
hcc_tcga_gdc:TCGA-ZS-A9CF-01	0	0	0	0	0	0	0	0	0	0	0
hcc_tcga_gdc:TCGA-ZS-A9CE-01	0	0	0	0	0	0	0	0	0	0	0
hcc_tcga_gdc:TCGA-ZS-A9CD-01	1	0	0	0	0	0	0	0	1	0	0
hcc_tcga_gdc:TCGA-ZP-A9D4-01	1	1	0	0	0	0	0	0	0	0	0
hcc_tcga_gdc:TCGA-ZP-A9D2-01	0	0	0	0	0	0	0	0	0	0	0
hcc_tcga_gdc:TCGA-ZP-A9D1-01	0	0	0	0	0	0	0	0	0	0	0
hcc_tcga_gdc:TCGA-ZP-A9D0-01	0	0	0	0	0	0	0	0	0	0	0
hcc_tcga_gdc:TCGA-ZP-A9CZ-01	0	0	0	0	0	0	0	0	0	0	0
hcc_tcga_gdc:TCGA-ZP-A9CY-01	0	0	0	0	0	0	0	0	0	0	0
hcc_tcga_gdc:TCGA-ZP-A9CV-01	1	1	0	0	0	0	0	0	0	0	0
hcc_tcga_gdc:TCGA-YA-A8S7-01	1	0	0	0	0	0	0	0	1	0	0
hcc_tcga_gdc:TCGA-XR-A8TG-01	0	0	0	0	0	0	0	0	0	0	0
hcc_tcga_gdc:TCGA-XR-A8TF-01	1	1	0	0	1	0	0	0	0	0	0
hcc_tcga_gdc:TCGA-XR-A8TE-01	0	0	0	0	0	0	0	0	0	0	0
hcc_tcga_gdc:TCGA-XR-A8TD-01	0	0	0	0	0	0	0	0	0	0	0
hcc_tcga_gdc:TCGA-WX-AA47-01	1	1	0	0	0	0	0	0	0	0	0
hcc_tcga_gdc:TCGA-WX-AA46-01	0	0	0	0	0	0	0	0	0	0	0
hcc_tcga_gdc:TCGA-WX-AA44-01	0	0	0	0	0	0	0	0	0	0	0
hcc_tcga_gdc:TCGA-WQ-AB4B-01	0	0	0	0	0	0	0	0	0	0	0
hcc_tcga_gdc:TCGA-WQ-A9G7-01	0	0	0	0	0	0	0	0	0	0	0
hcc_tcga_gdc:TCGA-WJ-A86L-01	0	0	0	0	0	0	0	0	0	0	0
hcc_tcga_gdc:TCGA-UB-AA0V-01	0	0	0	0	0	0	0	0	0	0	0
hcc_tcga_gdc:TCGA-UB-AA0U-01	1	0	0	0	0	0	0	0	1	0	0
hcc_tcga_gdc:TCGA-UB-A7MF-01	0	0	0	0	0	0	0	0	0	0	0
hcc_tcga_gdc:TCGA-UB-A7ME-01	0	0	0	0	0	0	0	0	0	0	0
hcc_tcga_gdc:TCGA-UB-A7MD-01	1	1	0	0	0	0	0	0	0	0	0
hcc_tcga_gdc:TCGA-UB-A7MC-01	1	1	0	0	0	0	0	0	0	0	0
hcc_tcga_gdc:TCGA-UB-A7MB-01	1	0	0	0	0	0	0	0	1	0	0
hcc_tcga_gdc:TCGA-UB-A7MA-01	0	0	0	0	0	0	0	0	0	0	0
hcc_tcga_gdc:TCGA-T1-A6J8-01	0	0	0	0	0	0	0	0	0	0	0
hcc_tcga_gdc:TCGA-RG-A7D4-01	1	1	0	1	0	1	1	0	1	0	1
hcc_tcga_gdc:TCGA-RC-A7SK-01	1	0	0	0	0	0	0	0	1	0	0
hcc_tcga_gdc:TCGA-RC-A7SH-01	0	0	0	0	0	0	0	0	0	0	0
hcc_tcga_gdc:TCGA-RC-A7SF-01	1	0	0	0	0	0	0	0	1	0	0
hcc_tcga_gdc:TCGA-RC-A7SB-01	1	0	0	0	1	0	1	0	0	0	0
hcc_tcga_gdc:TCGA-RC-A7S9-01	0	0	0	0	0	0	0	0	0	0	0
hcc_tcga_gdc:TCGA-RC-A6M6-01	0	0	0	0	0	0	0	0	0	0	0
hcc_tcga_gdc:TCGA-RC-A6M5-01	0	0	0	0	0	0	0	0	0	0	0
hcc_tcga_gdc:TCGA-RC-A6M4-01	1	1	0	0	0	0	0	0	1	0	0
hcc_tcga_gdc:TCGA-RC-A6M3-01	1	0	0	0	0	0	0	0	1	0	0
hcc_tcga_gdc:TCGA-QA-A7B7-01	0	0	0	0	0	0	0	0	0	0	0
hcc_tcga_gdc:TCGA-PD-A5DF-01	0	0	0	0	0	0	0	0	0	0	0
hcc_tcga_gdc:TCGA-O8-A75V-01	1	1	0	0	0	0	0	0	1	0	0
hcc_tcga_gdc:TCGA-NI-A8LF-01	1	1	0	0	0	1	0	0	0	0	0
hcc_tcga_gdc:TCGA-NI-A4U2-01	0	0	0	0	0	0	0	0	0	0	0
hcc_tcga_gdc:TCGA-MR-A8JO-01	0	0	0	0	0	0	0	0	0	0	0
hcc_tcga_gdc:TCGA-MR-A520-01	0	0	0	0	0	0	0	0	0	0	0
hcc_tcga_gdc:TCGA-MI-A75I-01	0	0	0	0	0	0	0	0	0	0	0
hcc_tcga_gdc:TCGA-MI-A75H-01	1	1	0	0	0	0	0	0	0	0	0
hcc_tcga_gdc:TCGA-MI-A75G-01	0	0	0	0	0	0	0	0	0	0	0
hcc_tcga_gdc:TCGA-MI-A75E-01	1	0	0	1	0	0	0	0	0	0	0
hcc_tcga_gdc:TCGA-MI-A75C-01	1	1	0	0	0	0	0	0	0	0	0
hcc_tcga_gdc:TCGA-LG-A9QD-01	1	1	0	0	0	0	0	0	1	0	0
hcc_tcga_gdc:TCGA-LG-A9QC-01	0	0	0	0	0	0	0	0	0	0	0
hcc_tcga_gdc:TCGA-LG-A6GG-01	0	0	0	0	0	0	0	0	0	0	0
hcc_tcga_gdc:TCGA-KR-A7K8-01	0	0	0	0	0	0	0	0	0	0	0
hcc_tcga_gdc:TCGA-KR-A7K7-01	1	0	0	1	0	0	0	0	1	0	0
hcc_tcga_gdc:TCGA-KR-A7K2-01	1	0	0	0	0	0	0	0	1	0	0
hcc_tcga_gdc:TCGA-KR-A7K0-01	1	1	0	0	0	0	0	0	0	0	0
hcc_tcga_gdc:TCGA-K7-AAU7-01	1	0	0	0	0	0	0	0	1	0	0
hcc_tcga_gdc:TCGA-K7-A6G5-01	1	1	0	0	0	0	0	0	0	0	0
hcc_tcga_gdc:TCGA-K7-A5RG-01	0	0	0	0	0	0	0	0	0	0	0
hcc_tcga_gdc:TCGA-K7-A5RF-01	0	0	0	0	0	0	0	0	0	0	0
hcc_tcga_gdc:TCGA-HP-A5N0-01	0	0	0	0	0	0	0	0	0	0	0
