studyID:sampleId	Altered	CTNNB1	ZNRF3	APC	AXIN1	AXIN2	RNF43	RSPO1	RSPO2	RSPO3	RSPO4
ucec_tcga_gdc:TCGA-SL-A6JA-01	1	0	1	0	0	0	1	0	0	0	0
ucec_tcga_gdc:TCGA-SL-A6J9-01	0	0	0	0	0	0	0	0	0	0	0
ucec_tcga_gdc:TCGA-SJ-A6ZJ-01	1	1	0	0	0	0	0	0	0	0	0
ucec_tcga_gdc:TCGA-SJ-A6ZI-01	1	0	0	0	0	0	1	0	0	0	0
ucec_tcga_gdc:TCGA-QS-A8F1-01	0	0	0	0	0	0	0	0	0	0	0
ucec_tcga_gdc:TCGA-QS-A744-01	1	1	0	0	0	0	0	0	0	0	0
ucec_tcga_gdc:TCGA-QS-A5YR-01	1	0	0	0	0	0	0	1	0	0	0
ucec_tcga_gdc:TCGA-QS-A5YQ-01	1	1	0	0	0	0	0	0	0	0	0
ucec_tcga_gdc:TCGA-QF-A5YT-01	0	0	0	0	0	0	0	0	0	0	0
ucec_tcga_gdc:TCGA-QF-A5YS-01	1	0	0	1	0	0	0	0	0	0	0
ucec_tcga_gdc:TCGA-PG-A917-01	1	0	0	0	0	0	1	0	0	1	0
ucec_tcga_gdc:TCGA-PG-A916-01	0	0	0	0	0	0	0	0	0	0	0
ucec_tcga_gdc:TCGA-PG-A915-01	0	0	0	0	0	0	0	0	0	0	0
ucec_tcga_gdc:TCGA-PG-A914-01	1	0	0	0	0	0	1	0	1	0	1
ucec_tcga_gdc:TCGA-PG-A7D5-01	0	0	0	0	0	0	0	0	0	0	0
ucec_tcga_gdc:TCGA-PG-A6IB-01	1	0	0	0	0	1	0	0	0	0	0
ucec_tcga_gdc:TCGA-PG-A5BC-01	0	0	0	0	0	0	0	0	0	0	0
ucec_tcga_gdc:TCGA-KP-A3W4-01	0	0	0	0	0	0	0	0	0	0	0
ucec_tcga_gdc:TCGA-KP-A3W3-01	0	0	0	0	0	0	0	0	0	0	0
ucec_tcga_gdc:TCGA-KP-A3W1-01	1	0	1	0	0	0	0	0	1	0	1
ucec_tcga_gdc:TCGA-KP-A3W0-01	0	0	0	0	0	0	0	0	0	0	0
ucec_tcga_gdc:TCGA-KP-A3VZ-01	1	0	0	0	1	0	0	0	0	0	0
ucec_tcga_gdc:TCGA-JU-AAVI-01	0	0	0	0	0	0	0	0	0	0	0
ucec_tcga_gdc:TCGA-H5-A2HR-01	1	0	0	0	0	0	0	0	1	0	0
ucec_tcga_gdc:TCGA-FI-A3PV-01	1	0	0	0	0	0	0	0	1	0	0
ucec_tcga_gdc:TCGA-FI-A2F9-01	1	0	0	1	0	0	0	0	0	0	0
ucec_tcga_gdc:TCGA-FI-A2F4-01	1	0	0	1	0	0	0	0	0	0	0
ucec_tcga_gdc:TCGA-FI-A2EY-01	1	0	0	0	0	0	0	0	0	1	0
ucec_tcga_gdc:TCGA-FI-A2EX-01	0	0	0	0	0	0	0	0	0	0	0
ucec_tcga_gdc:TCGA-FI-A2EW-01	0	0	0	0	0	0	0	0	0	0	0
ucec_tcga_gdc:TCGA-FI-A2EU-01	0	0	0	0	0	0	0	0	0	0	0
ucec_tcga_gdc:TCGA-FI-A2D6-01	0	0	0	0	0	0	0	0	0	0	0
ucec_tcga_gdc:TCGA-FI-A2D5-01	1	1	1	1	1	0	0	0	0	0	0
ucec_tcga_gdc:TCGA-FI-A2D4-01	1	1	0	0	0	0	0	0	0	0	0
ucec_tcga_gdc:TCGA-FI-A2D2-01	0	0	0	0	0	0	0	0	0	0	0
ucec_tcga_gdc:TCGA-FI-A2D0-01	1	0	0	1	1	0	0	0	0	0	0
ucec_tcga_gdc:TCGA-FI-A2CY-01	0	0	0	0	0	0	0	0	0	0	0
ucec_tcga_gdc:TCGA-FI-A2CX-01	0	0	0	0	0	0	0	0	0	0	0
ucec_tcga_gdc:TCGA-EY-A72D-01	0	0	0	0	0	0	0	0	0	0	0
ucec_tcga_gdc:TCGA-EY-A5W2-01	1	0	0	0	0	0	1	0	0	0	0
ucec_tcga_gdc:TCGA-EY-A54A-01	0	0	0	0	0	0	0	0	0	0	0
ucec_tcga_gdc:TCGA-EY-A549-01	1	0	0	0	0	0	1	0	0	0	0
ucec_tcga_gdc:TCGA-EY-A548-01	1	0	0	0	0	0	1	0	0	0	0
ucec_tcga_gdc:TCGA-EY-A547-01	1	0	0	0	1	0	0	0	0	0	0
ucec_tcga_gdc:TCGA-EY-A4KR-01	0	0	0	0	0	0	0	0	0	0	0
ucec_tcga_gdc:TCGA-EY-A3QX-01	0	0	0	0	0	0	0	0	0	0	0
ucec_tcga_gdc:TCGA-EY-A3L3-01	0	0	0	0	0	0	0	0	0	0	0
ucec_tcga_gdc:TCGA-EY-A2OQ-01	1	0	0	0	0	1	1	0	1	0	0
ucec_tcga_gdc:TCGA-EY-A2OP-01	1	1	0	0	0	0	1	0	0	0	0
ucec_tcga_gdc:TCGA-EY-A2OO-01	0	0	0	0	0	0	0	0	0	0	0
ucec_tcga_gdc:TCGA-EY-A2ON-01	1	0	1	0	0	0	0	0	0	0	0
ucec_tcga_gdc:TCGA-EY-A2OM-01	0	0	0	0	0	0	0	0	0	0	0
ucec_tcga_gdc:TCGA-EY-A215-01	1	0	0	1	1	1	0	0	0	1	0
ucec_tcga_gdc:TCGA-EY-A214-01	1	0	0	0	0	0	0	0	1	0	1
ucec_tcga_gdc:TCGA-EY-A212-01	0	0	0	0	0	0	0	0	0	0	0
ucec_tcga_gdc:TCGA-EY-A210-01	0	0	0	0	0	0	0	0	0	0	0
ucec_tcga_gdc:TCGA-EY-A1H0-01	1	0	0	0	0	1	1	0	0	0	0
ucec_tcga_gdc:TCGA-EY-A1GX-01	0	0	0	0	0	0	0	0	0	0	0
ucec_tcga_gdc:TCGA-EY-A1GW-01	0	0	0	0	0	0	0	0	0	0	0
ucec_tcga_gdc:TCGA-EY-A1GV-01	0	0	0	0	0	0	0	0	0	0	0
ucec_tcga_gdc:TCGA-EY-A1GU-01	1	0	0	1	0	0	0	0	0	0	0
ucec_tcga_gdc:TCGA-EY-A1GT-01	0	0	0	0	0	0	0	0	0	0	0
ucec_tcga_gdc:TCGA-EY-A1GS-01	0	0	0	0	0	0	0	0	0	0	0
ucec_tcga_gdc:TCGA-EY-A1GR-01	1	0	1	0	0	0	0	0	0	0	0
ucec_tcga_gdc:TCGA-EY-A1GQ-01	0	0	0	0	0	0	0	0	0	0	0
ucec_tcga_gdc:TCGA-EY-A1GP-01	1	1	0	0	0	0	0	0	0	0	0
ucec_tcga_gdc:TCGA-EY-A1GO-01	1	0	1	0	0	0	0	0	0	0	0
ucec_tcga_gdc:TCGA-EY-A1GM-01	0	0	0	0	0	0	0	0	0	0	0
ucec_tcga_gdc:TCGA-EY-A1GL-01	1	1	0	0	0	0	0	0	0	0	0
ucec_tcga_gdc:TCGA-EY-A1GK-01	0	0	0	0	0	0	0	0	0	0	0
ucec_tcga_gdc:TCGA-EY-A1GJ-01	0	0	0	0	0	0	0	0	0	0	0
ucec_tcga_gdc:TCGA-EY-A1GI-01	1	0	0	1	0	1	1	1	0	0	0
ucec_tcga_gdc:TCGA-EY-A1GH-01	0	0	0	0	0	0	0	0	0	0	0
ucec_tcga_gdc:TCGA-EY-A1GF-01	1	0	0	0	1	0	1	0	0	0	0
ucec_tcga_gdc:TCGA-EY-A1GE-01	1	0	1	0	0	0	0	0	0	0	0
ucec_tcga_gdc:TCGA-EY-A1GD-01	1	1	0	1	0	0	0	0	0	0	0
ucec_tcga_gdc:TCGA-EY-A1GC-01	1	1	0	0	1	0	0	0	0	0	0
ucec_tcga_gdc:TCGA-EY-A1G8-01	1	1	0	1	0	1	0	0	0	0	0
ucec_tcga_gdc:TCGA-EY-A1G7-01	1	0	0	0	0	0	1	0	0	0	0
ucec_tcga_gdc:TCGA-EO-A3L0-01	0	0	0	0	0	0	0	0	0	0	0
ucec_tcga_gdc:TCGA-EO-A3B1-01	0	0	0	0	0	0	0	0	0	0	0
ucec_tcga_gdc:TCGA-EO-A3B0-01	1	1	0	1	0	0	0	0	0	0	0
ucec_tcga_gdc:TCGA-EO-A3AZ-01	1	0	0	0	0	0	0	0	1	0	0
ucec_tcga_gdc:TCGA-EO-A3AY-01	0	0	0	0	0	0	0	0	0	0	0
ucec_tcga_gdc:TCGA-EO-A3AV-01	1	0	0	1	0	0	0	0	0	0	0
